Title,Author_URL,Author_Name,App_Version,Rating,Review,Date
les go,https://itunes.apple.com/us/reviews/id678251056,frehjhferbbbvesa,4.51.0,5,yupppooooopo,9/11/19 04:12
Ridiculous,https://itunes.apple.com/us/reviews/id771857507,asst manager rick,4.51.0,3,I had ridden 1 time n still had a 14.99 credit and now it’s gone ? 🤷‍♂️ who do I call,9/11/19 02:20
Horrible Payment System,https://itunes.apple.com/us/reviews/id408770192,Stephzilla121,4.51.0,1,"First off, I don’t appreciate having to “load” money onto an app before I start my first ride. ESPECIALLY when I have a $5 credit on my account to start. Second of all, they clearly don’t care about their customers. I contacted support to remove my credit card because I want to get rid of the app and they still have not contacted me. Even Lime had the decency to contact me after I gave a 4/5 for the experience. In fact, I *highly* recommend Lime over this atrocious lack of good programming. Seriously, everyone needs to get Lime over getting Bird... This bird is flying the coop!",9/10/19 07:26
Steering was bad,https://itunes.apple.com/us/reviews/id1071616198,pattycavvs,4.51.0,4,The steering was all over the place. Could’ve been real unsafe,9/10/19 05:42
Good app and scooter but poor customer service,https://itunes.apple.com/us/reviews/id200963697,Noonc,4.51.0,3,"Bird has good scooters and a pretty good app. But it’s annoying that my personal (monthly) rental shuts off in the middle of a ride if it doesn’t hear from my phone for a bit. Sometimes my phone battery is low so I have to turn it off. Then the scooter abruptly shuts off a few minutes into the ride, sometimes in the middle of an intersection!

As for Bird customer service, they could use some work. When you call they put you in a queue but then after 20 minutes they hang up. On the app-based customer service it’s hit or miss. Sometimes they respond in a few hours. Other times they take days to respond then close out the ticket if I don’t respond within a few hours.",9/10/19 02:06
Work prefect,https://itunes.apple.com/us/reviews/id581303212,ggggcfttggghhvhj,4.51.0,5,Amazing,9/10/19 00:17
Cool,https://itunes.apple.com/us/reviews/id235239930,Illfamous1,4.50.1,5,I Fux with bird!!!,9/9/19 03:58
Living our best life in LA!!,https://itunes.apple.com/us/reviews/id128194329,ShellC03,4.50.1,5,Living our best life in LA!!,9/9/19 03:18
Great,https://itunes.apple.com/us/reviews/id175709219,mintyfresh13,4.50.1,5,Good,9/8/19 23:28
Took my five-year-old around the block great fun,https://itunes.apple.com/us/reviews/id766803374,bike awaomnwss,4.50.1,5,Rather than running walking or biking real slow we took the scooter on the block with my son on his bike,9/8/19 20:12
Overpriced Nonsense,https://itunes.apple.com/us/reviews/id630315228,Ratrick07,4.50.1,1,"Just took one of these from my house to a coffee shop. Ride ended up costing $10, which is LITERALLY THE PRICE OF AN UBER RIDE TO THE SAME LOCATION. There’s no true breakdown of costs provided. There is no way this company is going to last.",9/8/19 15:26
Honestly love the scooters,https://itunes.apple.com/us/reviews/id31034467,Chlo-bo,4.50.1,2,I had to open and close and open and close the app for about 5 minutes until it finally let me check out a scooter. Once I got on the scooter it was great and very fast which I loved but I think the app needs a couple updates to work more smoothly. This review is purely regarding the app and not the scooters which are very sturdy and smooth.,9/8/19 06:17
Live laugh love,https://itunes.apple.com/us/reviews/id601177602,scootininthecity,4.50.1,5,I loved every second of cruising through the city on my hot ride!,9/8/19 05:33
Smoothest ride,https://itunes.apple.com/us/reviews/id128972427,ktzeeeeee,4.50.1,5,Bird scooters are always in better condition and a smoother ride than other options. Really like the handles!,9/8/19 04:04
Hi,https://itunes.apple.com/us/reviews/id19725678,yasser songs,4.50.1,5,I love it,9/8/19 03:54
So much fun,https://itunes.apple.com/us/reviews/id125219768,samiraanbar,4.50.1,5,No seriously,9/8/19 03:48
Freaking awesome,https://itunes.apple.com/us/reviews/id108179551,Linker327,4.50.1,5,This is awesome,9/8/19 03:15
Amen,https://itunes.apple.com/us/reviews/id1070736510,jaqavouis,4.50.1,5,Phenomenal great expressive very pristine,9/8/19 02:04
Review,https://itunes.apple.com/us/reviews/id808585663,Greer Kristen,4.50.1,5,Awesome experience!! Only wish I could have rented 4 at a time for my family to ride together. I could only rent one and only one of us could ride! But it was an awesome experience!!,9/7/19 23:57
Amazing Where to get around town quickly,https://itunes.apple.com/us/reviews/id158368104,toto the train,4.50.1,5,The app in the concepts of urban mobility is great I’m just a big fan of super smooth the only thing that I don’t like is the one dollar flat fee to unlock which makes you think twice before using it for a very short trip otherwise please keep it up,9/7/19 23:03
Nice experience,https://itunes.apple.com/us/reviews/id252627789,Carlos Chapellin,4.50.1,5,Excellent condition,9/7/19 22:17
Not bad bird,https://itunes.apple.com/us/reviews/id472848872,Piiiiiiiitr,4.50.1,5,Thid worked out great.,9/7/19 20:49
Overpriced and terrible,https://itunes.apple.com/us/reviews/id693045750,francesca12344566,4.50.1,1,"Stick to any other brand of scooter. This one will overcharge you, not to mention is an awful interface and has no power. Would give 0 stars if I could.",9/7/19 15:45
It my birfday,https://itunes.apple.com/us/reviews/id591122426,sierrarose12345678910,4.50.1,5,It’s my birthdayyyy,9/7/19 03:12
Not happy about the app,https://itunes.apple.com/us/reviews/id420079800,Lennox0_0,4.50.1,1,I had to but $20 into bird to ride the scooter and i thought it was going to just charge the distance and take out the money from my bank account and I needed to use it for one time only that’s it but no my $20 has gone to wasted. Not using the app anymore,9/7/19 01:21
I like it,https://itunes.apple.com/us/reviews/id684520811,eversiro1,4.50.1,5,Nice,9/6/19 22:39
Ehhh,https://itunes.apple.com/us/reviews/id564311302,motocox307,4.50.1,2,"They went up on price, they are slow and nearly come to a stop in certain areas of the map.

LIME is better and half the price!!!",9/6/19 20:44
Cool Idea but $$$$,https://itunes.apple.com/us/reviews/id373573409,Futeballer89,4.50.1,2,In Tempe a 8 min ride is more expensive than an Uber these prices are ridiculous $5 for 8 mins is not cheap like people keep saying bird prices,9/6/19 01:57
Terrible Charger Support Team,https://itunes.apple.com/us/reviews/id511455965,kdallakian,4.50.1,1,The most terrible support for chargers. Do not even think to start charging. Not worth your time and energy at all.,9/5/19 20:10
Thanks,https://itunes.apple.com/us/reviews/id1018233229,brid daddy,4.50.1,5,Awesome time .time well spent.thanks guys wish these are here to stay a long time.,9/5/19 04:44
Broken,https://itunes.apple.com/us/reviews/id257498448,G r e at,4.50.1,1,Very wabely handle bar.,9/5/19 02:15
Your restrictiors are horrible,https://itunes.apple.com/us/reviews/id161772321,tyleram23,4.50.0,1,"The restrictors on your scooters keep throttling down to 10mph which is basically not worth riding. On hills around Arlington va it gets down to 5mph...FIVE! What’s even the point using the scooter at that speed. Also, your charge was $7 I could have taken an Uber for $8, which would have gotten me home sooner so still no point again.",9/4/19 21:53
