scooterid,battery_level,id,model,nest_id,latitude,longitude,time,city
1,100,a2bda860-62f7-4428-b5d6-e0dc5ded9c11,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00278833,-78.94217,9/10/19 23:00,Duke Campus
2,100,568deb7d-9407-41af-ba12-5d519c1aca46,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00279667,-78.94216167,9/10/19 23:00,Duke Campus
3,99,2e2fdfed-16b2-4745-972e-8de7ac9544fb,rf,2a144892-4e5a-4bf7-a677-174078500b15,36.00280333,-78.94214667,9/10/19 23:00,Duke Campus
4,28,9892b88d-d454-491b-a304-47ed2e2feb6c,rf,NA,35.99941333,-78.93885,9/10/19 23:00,Duke Campus
5,78,22341b1e-cd09-484a-a107-6f7320f165f3,rf,NA,35.99937,-78.93884333,9/10/19 23:00,Duke Campus
6,82,ca6d2359-f130-48d6-9b60-5abf43bb47ff,rf,NA,36.00115167,-78.93684333,9/10/19 23:00,Duke Campus
7,73,417f0de6-0b26-415e-8e61-23c69fc64091,rf,NA,36.00087667,-78.94537333,9/10/19 23:00,Duke Campus
8,100,346f45b9-fc4d-493a-a6bb-583c63719d47,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.99871,-78.94539667,9/10/19 23:00,Duke Campus
9,100,e4cb8789-bbba-4707-8689-075b8cd6d2cf,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.998695,-78.94538833,9/10/19 23:00,Duke Campus
10,100,af6e23f1-45a9-44a2-9f11-e0c94ee5102e,rf,d6b9161b-2f6e-43a3-9dd7-c0252be16508,35.9987,-78.94541167,9/10/19 23:00,Duke Campus
11,97,df7d7c40-4116-4de4-94d9-a09e07cfacdf,rf,NA,35.99791667,-78.93743833,9/10/19 23:00,Duke Campus
12,90,5cf9c3ff-a35a-4b69-9d66-d75ec2c78fcc,rf,NA,35.99971333,-78.93501333,9/10/19 23:00,Duke Campus
13,66,60c430b7-6ed3-4cb2-8891-de00276e05ff,rf,NA,35.99920333,-78.934265,9/10/19 23:00,Duke Campus
14,74,43754e60-fe10-4d78-a034-8385e49d6b9c,rf,NA,35.998745,-78.93420333,9/10/19 23:00,Duke Campus
15,75,18c39419-5e1d-4dd1-a7d9-a309f020b531,rf,NA,35.99689167,-78.946915,9/10/19 23:00,Duke Campus
16,69,8f4d0ab9-f848-42c0-9ad2-117cc4d58cd9,rf,NA,35.99657833,-78.947105,9/10/19 23:00,Duke Campus
17,96,08e64177-7166-4816-96be-c38f838be6fa,rf,NA,35.99606333,-78.946785,9/10/19 23:00,Duke Campus
18,91,4f44bf4a-04e3-406a-b7d6-89a527bc22a9,rf,NA,35.99465167,-78.938255,9/10/19 23:00,Duke Campus
19,75,bdd9a8f9-853f-4e93-98d2-1081194157d5,rf,NA,35.995835,-78.94660167,9/10/19 23:00,Duke Campus
20,87,7e2c8931-98a8-4ee3-9975-90aee97a87a9,rf,NA,35.99609,-78.94700667,9/10/19 23:00,Duke Campus
21,97,0b642b78-986f-4b6b-9f91-1946ec63d988,rf,NA,35.99604833,-78.946975,9/10/19 23:00,Duke Campus
22,99,d57a6a77-89c0-4e2b-adad-3aebc054bbef,rf,NA,35.996075,-78.94701333,9/10/19 23:00,Duke Campus
23,99,a0936d11-cb4f-4dac-adef-b35d24ea0f03,rf,NA,35.99606333,-78.94701333,9/10/19 23:00,Duke Campus
24,42,302faa1a-09df-4df5-99d5-7fbab6f0e95e,rf,NA,35.99604333,-78.94699833,9/10/19 23:00,Duke Campus
25,39,9fe6e5a0-9c0b-40b8-992e-7a304f5ac728,rf,NA,35.99607167,-78.94705167,9/10/19 23:00,Duke Campus
26,100,a192fea1-3466-4129-a58e-17a0e3758af6,rf,NA,35.99601333,-78.94698333,9/10/19 23:00,Duke Campus
27,81,3de3ec6a-cbfc-45ab-a585-d4b06b2c0da5,rf,NA,35.99602167,-78.94699833,9/10/19 23:00,Duke Campus
28,54,7a5d0d1c-b04c-4fea-8f94-02d0c175ecef,rf,NA,36.008965,-78.94235167,9/10/19 23:00,Duke Campus
29,83,812236c1-09b3-4be4-ada3-56de4f4e42c7,rf,NA,35.99517,-78.94997333,9/10/19 23:00,Duke Campus
30,54,c95c92cc-2f68-48b9-be13-3cfe607dee5e,rf,NA,36.00549,-78.951255,9/10/19 23:00,Duke Campus
31,94,5a51ae4c-1c7a-4850-bd62-797d8b2f85e0,rf,NA,36.005375,-78.95295,9/10/19 23:00,Duke Campus
32,82,c202e62a-7382-463e-b1cb-e826391dfb57,rf,NA,36.01157333,-78.94610667,9/10/19 23:00,Duke Campus
33,81,05680f08-85ca-4c03-b2b1-8c3cc9465aae,rf,NA,36.00911,-78.95275833,9/10/19 23:00,Duke Campus
34,88,6b7becc3-9887-4570-8657-ef68aef9b846,rf,NA,36.01216167,-78.94906667,9/10/19 23:00,Duke Campus
35,85,309c882c-213f-4136-8762-061e3c3974fe,rf,NA,36.01216833,-78.94908833,9/10/19 23:00,Duke Campus
36,30,766ba79a-7ace-4892-9092-a2d21ce415ce,rf,NA,36.00742667,-78.92726167,9/10/19 23:00,Duke Campus
37,76,4478b0c9-d007-4111-bdd7-1819a1ff86c6,rf,NA,36.00837333,-78.927925,9/10/19 23:00,Duke Campus
38,27,60dfdda2-e0d7-42ec-8f42-2afa8d93987b,rf,NA,36.00057167,-78.95758,9/10/19 23:00,Duke Campus
39,53,05254d85-64dc-480a-88a4-0c16bd07712f,rf,NA,36.00071333,-78.957665,9/10/19 23:00,Duke Campus
40,29,359f319e-b865-4b7d-a1b6-7a4054471ec0,rf,NA,36.01000667,-78.92865,9/10/19 23:00,Duke Campus
41,91,a5c3fe0f-f62d-4a99-a072-d0d7b29ada09,rf,NA,36.01379,-78.94867,9/10/19 23:00,Duke Campus
42,94,a32e696c-8737-4c0b-94a0-539174fa04fb,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.00252833,-78.92267667,9/10/19 23:00,Duke Campus
43,100,7190045d-8549-49bf-8331-b2dd9e932338,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.00254833,-78.92267667,9/10/19 23:00,Duke Campus
44,100,c8fad429-69bf-4cf0-ade1-0f78dde4e09e,rf,19a0c6fa-2de3-491d-b08e-088724373da3,36.00255167,-78.92267667,9/10/19 23:00,Duke Campus
45,83,17e9e0b8-1d67-49bb-967c-2816be062758,rf,NA,36.00564167,-78.92311167,9/10/19 23:00,Duke Campus
46,69,fe3f7f20-1864-4e85-a538-bde9df535fef,rf,NA,35.99675333,-78.92254667,9/10/19 23:00,Duke Campus
47,87,588e77bb-655e-4915-9bf6-0a5b018eec7d,rf,NA,36.00262,-78.92179833,9/10/19 23:00,Duke Campus
48,47,6ae9b59b-bc86-4774-a991-f8bdd16750a0,rf,NA,35.99517,-78.92310333,9/10/19 23:00,Duke Campus
49,63,5211dd0e-c9e4-4889-b0e2-4f3d5fc120e4,rf,NA,36.009025,-78.923355,9/10/19 23:00,Duke Campus
50,100,86a38d1e-99f6-492a-bd80-8f4b2067100a,rf,302d7b70-52d6-4a9e-bb7d-243e0d7639c3,36.009915,-78.92384333,9/10/19 23:00,Duke Campus
51,99,ec1e48ac-a95f-49b8-b30c-c787e2beb015,rf,302d7b70-52d6-4a9e-bb7d-243e0d7639c3,36.00991,-78.92379833,9/10/19 23:00,Duke Campus
52,100,a44b4aa7-1531-475d-b470-a8dd46d93ae7,rf,302d7b70-52d6-4a9e-bb7d-243e0d7639c3,36.00994833,-78.92382,9/10/19 23:00,Duke Campus
53,83,79d4f265-5a14-4590-bedd-ca6d530bdeac,rf,NA,36.00915833,-78.92208167,9/10/19 23:00,Duke Campus
54,63,167c5d34-fbe9-49a7-ab03-52e4c64cd49f,rf,NA,36.00961667,-78.92210333,9/10/19 23:00,Duke Campus
55,64,8e68d206-8e5b-46f8-a9fa-b7a5428120ce,rf,NA,36.015255,-78.92772667,9/10/19 23:00,Duke Campus
56,64,18eb600a-c20c-4c5d-be3f-3b0bd816cfeb,rf,NA,36.01091833,-78.922005,9/10/19 23:00,Duke Campus
57,45,858fcc3f-393e-4890-b063-4d337ba4ec73,rf,NA,36.006515,-78.91880833,9/10/19 23:00,Duke Campus
58,34,743d629a-324a-46c9-8613-486dfd0321f6,rf,NA,36.00988333,-78.92028833,9/10/19 23:00,Duke Campus
59,82,9eb57649-2dbb-47ef-b1a4-a9e6a9d78b88,rf,NA,36.00377667,-78.91674,9/10/19 23:00,Duke Campus
60,63,ca28a0cc-e737-4899-805d-448c6c4fddf4,rf,NA,35.99668167,-78.91700667,9/10/19 23:00,Duke Campus
61,72,452a248b-ce6f-403e-95f6-4c6e42d03289,rf,NA,36.010075,-78.918975,9/10/19 23:00,Duke Campus
62,71,263bc3c1-ebf7-4ff3-9e8d-ca9874861365,rf,NA,35.998135,-78.91651167,9/10/19 23:00,Duke Campus
63,69,5c3f0478-dc3d-4bce-9ea9-79e50d541a47,rf,NA,36.01128833,-78.919555,9/10/19 23:00,Duke Campus
64,72,fa3b7a0c-b63a-4ecd-93bf-c26ffcd903b2,rf,NA,36.01473667,-78.92253833,9/10/19 23:00,Duke Campus
65,76,66b962bc-2978-4122-9847-26a32f19e345,rf,NA,36.01749833,-78.92592667,9/10/19 23:00,Duke Campus
66,62,442251f7-0406-490d-8b88-5cbc72397a04,rf,NA,36.00639667,-78.91661,9/10/19 23:00,Duke Campus
67,80,076dce39-b158-42e2-848e-62327747492a,rf,NA,36.01514,-78.92164667,9/10/19 23:00,Duke Campus
68,66,30b605d2-c258-4cbd-a303-b76f4022f2c8,rf,NA,36.016105,-78.92163167,9/10/19 23:00,Duke Campus
69,52,55f61827-26bb-4480-a02f-7ff6a3e27e77,rf,NA,36.02076667,-78.92878,9/10/19 23:00,Duke Campus
70,98,aca9cf42-1f7c-4de8-81a8-a62d81149494,rf,NA,35.996795,-78.913925,9/10/19 23:00,Duke Campus
71,98,387f13ef-226c-4be3-8666-e288f7559777,rf,03809820-a2e8-4753-8e25-33cc5790d6e8,35.99693,-78.91043167,9/10/19 23:00,Duke Campus
72,100,20b20daf-f226-4e58-ad77-346d9c199652,rf,03809820-a2e8-4753-8e25-33cc5790d6e8,35.99688667,-78.91043833,9/10/19 23:00,Duke Campus
73,99,44e92cce-0664-473a-af19-0976b2d69334,rf,03809820-a2e8-4753-8e25-33cc5790d6e8,35.99691,-78.91042333,9/10/19 23:00,Duke Campus
74,74,a221fb35-12d9-4af5-96a7-ce92ecf9bae3,rf,NA,35.99986043,-78.90909238,9/10/19 23:00,Duke Campus
75,31,7bb64711-af40-4164-aa89-0783e2f76ac8,rf,NA,35.999165,-78.90911833,9/10/19 23:00,Duke Campus
76,85,6e10362b-0ae8-40a7-86e0-a360910e92f0,rf,NA,35.99945833,-78.90847,9/10/19 23:00,Duke Campus
77,88,4529b322-7726-499f-9888-6e2bcd275157,rf,NA,35.99942333,-78.908455,9/10/19 23:00,Duke Campus
78,79,22a0d937-d7a0-4082-b5f4-3d9584c68dc2,rf,NA,36.02247167,-78.92112,9/10/19 23:00,Duke Campus
79,44,56dc4e60-1175-4993-a0f8-08b5eb62b235,rf,c5ddb45e-d832-461f-b243-43ffddfeb6ab,35.99878667,-78.90744,9/10/19 23:00,Duke Campus
80,46,7c795484-de40-4151-b8ec-3a0227b2c40e,rf,c5ddb45e-d832-461f-b243-43ffddfeb6ab,35.99876833,-78.907425,9/10/19 23:00,Duke Campus
81,99,630180c3-7cda-4bb1-b799-0750e40e89ba,rf,c5ddb45e-d832-461f-b243-43ffddfeb6ab,35.99875667,-78.90733333,9/10/19 23:00,Duke Campus
82,94,1619487c-c184-4de8-b564-b4ec5d62f868,rf,NA,36.007595,-78.90779167,9/10/19 23:00,Duke Campus
83,79,45d3c38e-4014-4572-bd4b-121faec64e06,rf,NA,36.010055,-78.90852333,9/10/19 23:00,Duke Campus
84,46,db01993e-0dcb-4434-927d-622dda9f7566,rf,NA,36.01000167,-78.90847833,9/10/19 23:00,Duke Campus
85,43,79d78a2c-7196-4172-9200-8143f79bea32,rf,NA,35.99951167,-78.90651,9/10/19 23:00,Duke Campus
86,100,99f84c16-a898-4b59-8a47-bbf2f51c6f20,rf,95c8285a-a201-4a44-8e28-176f6bd6735b,35.99544167,-78.906715,9/10/19 23:00,Duke Campus
87,26,5102dab4-0143-4c32-92de-a8884da1412f,rf,NA,35.99540667,-78.90672333,9/10/19 23:00,Duke Campus
88,44,0f0db6a3-b092-4797-8666-6841130f9cfa,rf,NA,35.99645667,-78.90647167,9/10/19 23:00,Duke Campus
89,99,85b0184f-94cb-41f8-8ec2-e683ad4d93ec,rf,95c8285a-a201-4a44-8e28-176f6bd6735b,35.99544167,-78.9067,9/10/19 23:00,Duke Campus
90,100,6c719fc5-1161-4156-a572-f0b254a4ecb7,rf,95c8285a-a201-4a44-8e28-176f6bd6735b,35.99544167,-78.90669333,9/10/19 23:00,Duke Campus
91,94,39a3f6fe-2cc5-4527-b9a9-3a7e319737f0,rf,NA,35.99542667,-78.90669333,9/10/19 23:00,Duke Campus
92,97,d633de85-ad7b-439a-a725-2cfe9d4f92be,rf,95c8285a-a201-4a44-8e28-176f6bd6735b,35.9954,-78.90664667,9/10/19 23:00,Duke Campus
93,91,306c8f58-5ae2-4140-8fe9-ec244c376727,rf,NA,35.98630833,-78.91074333,9/10/19 23:00,Duke Campus
94,46,dba79bea-fb37-4944-ac99-98c698ec2963,rf,NA,35.990025,-78.90820333,9/10/19 23:00,Duke Campus
95,88,f6fb3afb-cecc-47ab-b1a7-a2f330ef706d,rf,NA,35.9986,-78.90387667,9/10/19 23:00,Duke Campus
96,80,330639d3-3d4e-49b5-bbb7-84865c807316,rf,NA,35.99857667,-78.90370167,9/10/19 23:00,Duke Campus
97,64,6533727d-866f-49b1-8704-742cc5aa74cb,rf,NA,35.98616833,-78.90751667,9/10/19 23:00,Duke Campus
98,73,4e23a6dc-ba6c-4c0d-931b-4514c605c4a2,rf,NA,36.00009167,-78.90262667,9/10/19 23:00,Duke Campus
99,35,4ee88561-eafc-45a9-8a03-16517551890f,rf,NA,36.005565,-78.90284,9/10/19 23:00,Duke Campus
100,70,32524ba4-c003-474d-89f7-b6d2656e6f39,rf,NA,35.99474,-78.90255667,9/10/19 23:00,Duke Campus
101,30,1026f393-61b2-481a-8e7d-3ff5ce1aeb49,rf,NA,36.020755,-78.90978167,9/10/19 23:00,Duke Campus
102,30,5e92996f-cfb0-4567-9012-1cd63b689125,rf,NA,35.99749333,-78.90167167,9/10/19 23:00,Duke Campus
103,74,c7fa3c07-2f36-46f9-8ac2-42753acc40c0,rf,NA,36.00342167,-78.90142833,9/10/19 23:00,Duke Campus
104,62,0e53f5bf-79b7-45ad-98a8-dfccacc0f097,rf,NA,35.99203167,-78.90223667,9/10/19 23:00,Duke Campus
105,47,a040f862-342f-4088-a5a8-87eb7fe7deb4,rf,NA,36.00727,-78.90102333,9/10/19 23:00,Duke Campus
106,91,e08b6496-b80d-4fff-9184-0b6701abed54,rf,NA,35.98507,-78.90499833,9/10/19 23:00,Duke Campus
107,38,642e8823-f4e1-496c-b22b-7bd58214ee97,rf,NA,35.99691,-78.90007,9/10/19 23:00,Duke Campus
108,56,70d80116-313c-487a-b742-83d1e1a71e81,rf,NA,35.99105,-78.899925,9/10/19 23:00,Duke Campus
109,75,54c1d602-a34e-47f6-8db0-e7980536eba0,rf,NA,35.99104667,-78.899895,9/10/19 23:00,Duke Campus
110,42,cb5e11c9-ee5b-46be-b3c3-5049ea52fff8,rf,NA,35.98555833,-78.90226667,9/10/19 23:00,Duke Campus
111,65,7a150c04-7418-4c40-a7ae-30a7a7149eca,rf,NA,35.99931333,-78.89710167,9/10/19 23:00,Duke Campus
112,71,344d3d6d-7a5c-4b40-b767-c0901233d782,rf,NA,35.9902,-78.89775833,9/10/19 23:00,Duke Campus
113,62,9d16f9bd-b48b-4ce7-8478-84cd6d286d8f,rf,NA,35.99537333,-78.89455333,9/10/19 23:00,Duke Campus
114,81,ff39c879-98f3-4d61-a2cd-6bba66cfb8a3,rf,NA,35.99144667,-78.89455333,9/10/19 23:00,Duke Campus
115,61,9450741b-b579-4cea-a338-892d0ff8c666,rf,NA,35.97756167,-78.902855,9/10/19 23:00,Duke Campus
116,82,e0f8c79c-a45e-4b87-9f5a-ceeef448a76e,rf,NA,35.97731,-78.90042167,9/10/19 23:00,Duke Campus
117,83,99f53fa6-4e59-4ab7-bb7b-b2b471e7bf0d,rf,NA,35.97731,-78.90041333,9/10/19 23:00,Duke Campus
118,70,4b96dabe-ba9e-468a-a1a3-5597ff6cb89a,rf,NA,35.97544833,-78.90205333,9/10/19 23:00,Duke Campus
119,73,decfe75f-b21b-49fa-8674-d8540074cf5b,rf,NA,35.976875,-78.900505,9/10/19 23:00,Duke Campus
120,54,23e48319-5473-490b-914c-5fe4e1707eda,rf,NA,35.97937,-78.89835333,9/10/19 23:00,Duke Campus
121,53,a99e3f50-d284-4c9c-9ee0-025b5ee618e2,rf,NA,35.97546833,-78.90173333,9/10/19 23:00,Duke Campus
122,55,d7321460-deaa-45d4-abae-78c4a91f3c09,rf,NA,35.97564667,-78.899925,9/10/19 23:00,Duke Campus
123,76,7488dfaa-d32a-4dff-9e30-9909c2b81b84,rf,NA,35.97733,-78.89719333,9/10/19 23:00,Duke Campus
124,56,190183a4-10bb-4988-a902-bdbeda343e5e,rf,NA,35.97332333,-78.90052833,9/10/19 23:00,Duke Campus
125,42,6d8eacf0-5706-44de-92e8-5118f2f2e310,rf,NA,35.97712,-78.896355,9/10/19 23:00,Duke Campus
126,60,0fc8635c-f5ed-4e40-a781-88858056b671,rf,NA,35.97681833,-78.896385,9/10/19 23:00,Duke Campus
