weatherid,year,month,day,holiday,Time,temperature,apparentTemperature,humidity,pressure,windSpeed,visibility,icon,dewPoint,cloudCover,city
1,2019,9,9,0,00:00:00,77.35,77.35,0.54,1019.04,0.79,9.976,5,59.48,0.6,1
2,2019,9,9,0,01:00:00,74.01,74.13,0.64,1019.44,1.05,9.723,5,61.25,0.43,1
3,2019,9,9,0,02:00:00,71.46,71.64,0.71,1019.68,0.81,9.61,5,61.52,0.53,1
4,2019,9,9,0,03:00:00,69.56,69.8,0.76,1019.66,0.25,9.657,5,61.69,0.46,1
5,2019,9,9,0,04:00:00,67.72,67.92,0.8,1019.8,0.69,9.954,5,61.15,0.5,1
6,2019,9,9,0,05:00:00,67.61,67.88,0.81,1020.23,0.31,10,5,61.52,0.67,1
7,2019,9,9,0,06:00:00,68.12,68.41,0.8,1020.25,0.34,10,5,61.82,0.75,1
8,2019,9,9,0,07:00:00,68.32,68.64,0.8,1020.16,0.67,10,3,62.07,0.88,1
9,2019,9,9,0,08:00:00,66.98,67.27,0.83,1020.28,0.27,10,5,61.61,0.71,1
10,2019,9,9,0,09:00:00,66.63,66.92,0.83,1020.44,0.38,10,3,61.47,0.88,1
11,2019,9,9,0,10:00:00,66.55,66.91,0.85,1021.09,0.15,10,3,61.99,1,1
12,2019,9,9,0,11:00:00,67.92,68.19,0.8,1021.63,0.95,10,3,61.6,1,1
13,2019,9,9,0,12:00:00,68.6,68.87,0.79,1022.52,0.23,9.893,3,61.77,1,1
14,2019,9,9,0,13:00:00,70.95,71.31,0.76,1022.81,0.99,9.831,3,62.91,1,1
15,2019,9,9,0,14:00:00,73.94,74.33,0.7,1023.21,0.68,9.511,4,63.62,0.81,1
16,2019,9,9,0,15:00:00,76.34,76.68,0.64,1023.36,1.49,9.549,4,63.22,0.63,1
17,2019,9,9,0,16:00:00,78.75,79,0.57,1023.01,2.13,9.914,4,62.21,0.68,1
18,2019,9,9,0,17:00:00,81.77,82.01,0.46,1022.92,3.75,7.27,4,59.13,0.63,1
19,2019,9,9,0,18:00:00,83.21,83.21,0.44,1022.59,3.89,7.287,4,59.18,0.61,1
20,2019,9,9,0,19:00:00,83.64,83.64,0.44,1022.22,3.76,7.088,4,59.2,0.61,1
21,2019,9,9,0,20:00:00,83.89,83.89,0.41,1022.27,2.77,6.616,4,57.78,0.77,1
22,2019,9,9,0,21:00:00,84.03,84.03,0.41,1022.05,3.54,6.618,3,57.96,1,1
23,2019,9,9,0,22:00:00,82.93,82.93,0.44,1022.24,3.87,7.357,3,58.82,0.94,1
24,2019,9,9,0,23:00:00,81.64,81.84,0.46,1022.36,3.72,6.509,4,58.78,0.57,1
25,2019,9,10,0,00:00:00,78.78,78.78,0.51,1022.8,2.56,6.938,5,59.1,0.36,1
26,2019,9,10,0,01:00:00,75.64,75.64,0.56,1023.6,1.25,6.619,5,58.65,0.28,1
27,2019,9,10,0,02:00:00,74.63,74.63,0.57,1024.33,0.71,7.029,5,58.55,0.26,1
28,2019,9,10,0,03:00:00,73.04,73.04,0.61,1024.39,1.19,7.298,2,58.63,0.11,1
29,2019,9,10,0,04:00:00,71.75,71.81,0.68,1024.49,1.72,7.096,2,60.51,0.08,1
30,2019,9,10,0,05:00:00,70.5,70.71,0.74,1024.57,1.27,6.241,2,61.69,0,1
31,2019,9,10,0,06:00:00,69.5,69.98,0.82,1024.89,0.47,4.794,2,63.64,0,1
32,2019,9,10,0,07:00:00,67.88,68.38,0.85,1025.08,0.22,4.754,2,63.29,0.08,1
33,2019,9,10,0,08:00:00,68.01,68.55,0.86,1025.1,0.52,4.911,2,63.65,0.07,1
34,2019,9,10,0,09:00:00,67.75,68.25,0.86,1025.97,1.04,4.079,5,63.3,0.19,1
35,2019,9,10,0,10:00:00,67.77,68.32,0.87,1026.07,1.47,4.14,5,63.66,0.38,1
36,2019,9,10,0,11:00:00,67.53,68.16,0.89,1026.87,1.52,3.972,4,64.15,0.34,1
37,2019,9,10,0,12:00:00,70.37,71.15,0.86,1026.92,1.28,5.611,4,66.04,0.72,1
38,2019,9,10,0,13:00:00,73.64,74.54,0.81,1027.31,2.27,5.661,4,67.6,0.58,1
39,2019,9,10,0,14:00:00,76.26,77.05,0.74,1027.61,3.55,5.783,4,67.23,0.43,1
40,2019,9,10,0,15:00:00,79.32,79.82,0.61,1027.26,4.71,7.102,4,64.69,0.63,1
41,2019,9,10,0,16:00:00,82.21,83.49,0.53,1027.01,5.23,7.308,4,63.45,0.46,1
42,2019,9,10,0,17:00:00,84.17,84.43,0.46,1026.43,5.47,5.731,4,60.86,0.61,1
43,2019,9,10,0,18:00:00,85.59,85.6,0.43,1025.87,6.71,7.267,4,60.55,0.45,1
44,2019,9,10,0,19:00:00,86.56,86.56,0.4,1025.31,6.66,6.825,4,59.65,0.5,1
45,2019,9,10,0,20:00:00,86.86,86.88,0.42,1025.14,5.95,7.11,4,60.86,0.61,1
46,2019,9,10,0,21:00:00,86.39,86.72,0.44,1024.87,6.73,7.114,4,61.63,0.45,1
47,2019,9,10,0,22:00:00,85.25,86.04,0.47,1024.64,5.37,7.199,4,62.65,0.33,1
48,2019,9,10,0,23:00:00,83.19,84.48,0.52,1024.6,4.94,6.695,1,63.68,0.03,1
49,2019,9,11,0,00:00:00,80.21,81.85,0.58,1024.61,4.37,6.441,2,64.15,0.02,1
50,2019,9,11,0,01:00:00,77.29,77.82,0.66,1024.74,5.3,7.12,2,65.06,0.02,1
51,2019,9,11,0,02:00:00,75.68,76.29,0.71,1024.81,4.41,7.04,2,65.6,0.02,1
52,2019,9,11,0,03:00:00,74.07,74.77,0.77,1024.8,4.28,6.269,2,66.26,0.06,1
53,2019,9,11,0,04:00:00,73.05,73.79,0.8,1025.09,4.13,6.226,2,66.36,0.06,1
54,2019,9,11,0,05:00:00,72.31,73.14,0.83,1025.21,3.28,6.008,2,66.84,0.01,1
55,2019,9,11,0,06:00:00,70.92,71.76,0.86,1025.14,3.19,6.236,2,66.55,0.02,1
56,2019,9,11,0,07:00:00,70.12,71.09,0.91,1024.66,2.54,5.157,2,67.27,0.02,1
57,2019,9,11,0,08:00:00,69.79,70.82,0.93,1024.19,3.44,10,5,67.54,0.31,1
58,2019,9,11,0,09:00:00,69.66,70.77,0.95,1023.87,3.76,5.619,5,68.06,0.52,1
59,2019,9,11,0,10:00:00,69.86,70.96,0.94,1023.76,3.48,6.436,5,68.08,0.53,1
60,2019,9,11,0,11:00:00,69.62,70.75,0.95,1023.87,3.17,6.082,4,68.12,0.34,1
61,2019,9,11,0,12:00:00,70.98,72.13,0.93,1024.15,2.94,5.676,4,68.73,0.58,1
62,2019,9,11,0,13:00:00,73.89,74.98,0.85,1024.18,4.02,4.311,4,69.16,0.73,1
63,2019,9,11,0,14:00:00,77.34,78.43,0.78,1024.02,4.66,5.513,4,69.84,0.49,1
64,2019,9,11,0,15:00:00,81.61,85.62,0.69,1023.39,4,10,4,70.66,0.42,1
65,2019,9,11,0,16:00:00,82.49,89.57,0.78,1022.85,4.61,10,4,75.11,0.36,1
66,2019,9,11,0,17:00:00,88.66,93.99,0.54,1021.76,4.26,7.396,1,70.11,0,1
67,2019,9,11,0,18:00:00,91.77,97.41,0.49,1020.53,4.13,6.829,1,69.74,0.02,1
68,2019,9,11,0,19:00:00,93.27,98.44,0.45,1019.49,4.09,6.053,1,68.82,0.08,1
69,2019,9,11,0,20:00:00,94.28,99.23,0.43,1018.44,5,7.028,4,68.31,0.14,1
70,2019,9,11,0,21:00:00,91.82,95.4,0.44,1018.35,4.44,8.458,4,67.09,0.26,1
71,2019,9,11,0,22:00:00,83.39,88.25,0.67,1018.56,4.72,8.937,6,71.15,0.43,1
72,2019,9,11,0,23:00:00,81.75,86.07,0.7,1018.52,3.45,7.65,4,71.2,0.16,1
73,2019,9,12,0,00:00:00,80.21,83.79,0.74,1018.66,2.57,7.697,5,71.05,0.16,1
74,2019,9,12,0,01:00:00,78.42,79.59,0.77,1018.94,2.67,6.935,5,70.76,0.34,1
75,2019,9,12,0,02:00:00,77.5,78.64,0.79,1019.09,2.16,7.476,2,70.35,0.01,1
76,2019,9,12,0,03:00:00,75.88,77,0.82,1019.03,2.28,7.12,5,69.89,0.15,1
77,2019,9,12,0,04:00:00,75.36,76.51,0.83,1018.64,1.68,6.35,2,69.94,0.07,1
78,2019,9,12,0,05:00:00,74.97,76.15,0.85,1018.35,1.76,5.906,5,70.08,0.13,1
79,2019,9,12,0,06:00:00,74.66,75.8,0.85,1018.11,2.83,5.765,5,69.75,0.3,1
80,2019,9,12,0,07:00:00,74.36,75.43,0.84,1017.51,2.33,5.676,5,69.09,0.24,1
81,2019,9,12,0,08:00:00,74.34,75.44,0.84,1017.41,2.12,5.756,2,69.26,0.1,1
82,2019,9,12,0,09:00:00,73.87,74.89,0.84,1017.78,2.24,5.991,2,68.67,0.12,1
83,2019,9,12,0,10:00:00,74.01,75.03,0.83,1018.3,2.08,5.997,5,68.63,0.16,1
84,2019,9,12,0,11:00:00,73.89,74.92,0.84,1018.87,0.63,5.616,1,68.69,0.03,1
85,2019,9,12,0,12:00:00,76.31,77.32,0.78,1019.24,2.21,6.431,1,69.1,0.07,1
86,2019,9,12,0,13:00:00,80.48,83.55,0.69,1019.1,2.61,6.784,1,69.22,0.08,1
87,2019,9,12,0,14:00:00,85.58,90.03,0.59,1019.3,4.68,7.331,4,69.71,0.13,1
88,2019,9,12,0,15:00:00,88.85,93.26,0.52,1019.15,7.4,7.205,1,68.87,0.12,1
89,2019,9,12,0,16:00:00,90.98,94.91,0.47,1018.74,8.54,6.874,1,67.77,0.06,1
90,2019,9,12,0,17:00:00,92.71,96.64,0.44,1018.17,8.3,10,1,67.39,0.09,1
91,2019,9,12,0,18:00:00,94.88,98.62,0.4,1018.07,7.06,7.596,4,66.6,0.36,1
92,2019,9,12,0,19:00:00,95.17,98.1,0.38,1017.49,7.28,7.416,4,65.37,0.44,1
93,2019,9,12,0,20:00:00,95.82,97.88,0.35,1017.21,5.84,6.876,4,63.82,0.44,1
94,2019,9,12,0,21:00:00,94.29,96.16,0.37,1017,5.29,6.15,4,63.91,0.6,1
95,2019,9,12,0,22:00:00,88.01,91.12,0.5,1017.49,6.52,5.046,4,67.14,0.74,1
96,2019,9,12,0,23:00:00,86.58,90.51,0.55,1018.05,2.15,5.812,4,68.69,0.27,1
97,2019,9,13,0,00:00:00,85.23,89.63,0.6,1018.37,1.39,5.858,5,69.72,0.74,1
98,2019,9,13,0,01:00:00,83.92,87.87,0.62,1019.43,3.71,6.677,3,69.4,0.95,1
99,2019,9,13,0,02:00:00,80.4,83.62,0.7,1020.41,5.97,7.217,5,69.75,0.76,1
100,2019,9,13,0,03:00:00,77.92,79,0.76,1021.33,5.62,6.144,5,69.84,0.69,1
101,2019,9,13,0,04:00:00,76.63,77.76,0.8,1021.98,6.55,6.853,3,70.07,0.91,1
102,2019,9,13,0,05:00:00,75.22,76.27,0.82,1022.51,6.55,6.694,3,69.18,1,1
103,2019,9,13,0,06:00:00,73.66,74.66,0.84,1022.76,6.79,6.823,3,68.37,1,1
