Neighborhood,neighbor_lat,neighbor_lon,population,ethnicity_white,income,ed.col,age
Acton,34.497483,-118.2063717,6522,81.7%,83983,16.6%,37
Adams-Normandie,34.0316998,-118.2995435,17596,5.6%,29606,9.5%,26
Agoura Hills,34.155796,-118.7653592,20324,82.8%,117608,48.4%,37
Agua Dulce,34.5149,-118.3077005,3130,83.9%,106078,20.7%,40
Alhambra,34.08444768,-118.1353222,85961,13.8%,53224,27.5%,35
Alondra Park,33.885925,-118.335435,8604,26.4%,57177,16.8%,32
Altadena,34.19009644,-118.1363344,42680,39.6%,82676,39.2%,37
Angeles Crest,34.2683535,-118.0162875,1175,72.3%,72841,24.1%,41
Arcadia,34.12812582,-118.0374193,52951,45.4%,75808,44.4%,40
Arleta,34.24237642,-118.4325437,31068,13.2%,65649,11.3%,29
Arlington Heights,34.04528142,-118.3202915,22096,4.7%,31421,13.9%,31
Artesia,33.86856433,-118.0811872,16380,26.1%,60538,18.8%,33
Athens,33.92377575,-118.3002815,9101,1.2%,48824,12.5%,27
Atwater Village,34.12452333,-118.2643635,14888,22.2%,53872,22.6%,34
Avalon,33.343563,-118.3300478,3181,49.6%,53200,20.2%,31
Avocado Heights,34.04089175,-118.0031168,17415,11.0%,64544,9.1%,30
Azusa,34.12869075,-117.907319,44384,23.6%,53299,14.2%,26
Baldwin Hills/Crenshaw,34.01594286,-118.3495829,30123,3.3%,37984,24.1%,36
Baldwin Park,34.08305672,-117.9699652,75753,7.4%,56585,9.0%,25
Bel-Air,34.1015635,-118.468744,7691,83.0%,207938,66.1%,46
Bell,33.97452557,-118.1852903,36667,5.9%,40556,4.0%,24
Bell Gardens,33.96570939,-118.1561564,44054,4.7%,41532,4.0%,22
Bellflower,33.88660669,-118.1282135,72829,30.8%,53325,12.9%,30
Beverly Crest,34.10719433,-118.4371702,10852,87.5%,169282,67.6%,45
Beverly Grove,34.07565763,-118.3723509,21417,82.0%,63039,50.0%,38
Beverly Hills,34.07802621,-118.3991482,33829,81.8%,96312,54.5%,41
Beverlywood,34.0419315,-118.3933555,6080,80.0%,105253,55.3%,39
Boyle Heights,34.03924806,-118.2067916,92756,2.0%,33235,5.0%,25
Bradbury,34.1543995,-117.968573,1268,66.1%,123773,47.2%,46
Brentwood,34.0667054,-118.4788998,31344,84.2%,112927,70.4%,39
Broadway-Manchester,33.9402645,-118.2752233,23471,1.0%,29897,3.9%,23
Burbank,34.18157504,-118.3265616,100316,58.8%,64416,29.0%,36
Calabasas,34.14503867,-118.6699925,23130,83.2%,126178,57.1%,38
Canoga Park,34.20721408,-118.5995446,53227,30.7%,51601,18.0%,30
Carson,33.83653802,-118.2576453,89549,12.0%,70645,18.1%,33
Carthay,34.057295,-118.3669015,4866,57.8%,71398,53.2%,37
Castaic,34.4686015,-118.6345973,16843,47.0%,108693,19.0%,31
Castaic Canyons,34.47635154,-118.459805,7757,73.5%,93248,22.5%,34
Central-Alameda,34.0044018,-118.2490384,40947,1.0%,31559,2.8%,22
Century City,34.0567325,-118.413721,5513,82.5%,95135,55.4%,46
Cerritos,33.86633082,-118.0650475,51381,21.0%,98212,43.5%,38
Charter Oak,34.103073,-117.857205,9046,44.2%,68092,17.9%,32
Chatsworth,34.25717491,-118.5969215,35073,65.7%,84456,34.0%,40
Chatsworth Reservoir,34.230309,-118.6368628,2513,82.5%,55135,55.4%,46
Chesterfield Square,33.98534467,-118.3106607,6062,1.5%,37737,6.0%,31
Cheviot Hills,34.04180775,-118.4091968,6945,78.8%,111813,60.0%,42
Chinatown,34.06243638,-118.2388878,9610,2.5%,22754,8.3%,37
Citrus,34.11658683,-117.894638,11964,23.1%,66638,11.5%,26
Claremont,34.10960956,-117.7206713,35397,64.3%,89804,52.3%,36
Commerce,33.999195,-118.1589097,12583,4.4%,46254,4.6%,27
Compton,33.89791946,-118.2242411,94384,0.8%,43157,6.0%,24
Covina,34.0914434,-117.8896079,50954,42.2%,66438,19.0%,33
Cudahy,33.96376933,-118.1848477,24208,4.4%,49048,3.0%,22
Culver City,34.00778936,-118.4053476,38186,49.3%,70774,41.2%,39
Cypress Park,34.09328617,-118.2262397,9764,4.9%,42165,8.4%,27
Del Aire,33.9145795,-118.3678085,9039,33.6%,66442,15.1%,33
Del Rey,33.99235557,-118.4208201,28010,34.0%,62259,30.9%,35
Diamond Bar,33.99771494,-117.815933,56784,30.9%,92414,42.4%,36
Downey,33.93507789,-118.1345548,107237,28.6%,61849,17.3%,31
Downtown,34.04617296,-118.2501304,27849,16.2%,15003,17.9%,39
Duarte,34.13448933,-117.9695777,21486,31.9%,68539,23.6%,34
Eagle Rock,34.1319455,-118.2090443,32943,29.8%,67253,30.4%,35
East Compton,33.901361,-118.196443,13802,1.3%,44439,3.9%,22
East Hollywood,34.08886728,-118.2969632,73697,17.5%,29927,13.4%,31
East La Mirada,33.9255075,-117.9903968,9442,54.1%,69930,14.9%,35
East Los Angeles,34.0317893,-118.1694354,124895,1.7%,38621,3.7%,25
East Pasadena,34.140347,-118.070446,6045,37.2%,73690,39.8%,36
East San Gabriel,34.1188227,-118.0760204,22171,36.2%,64365,32.1%,36
Echo Park,34.07697233,-118.2579891,40455,12.9%,37708,18.0%,30
El Monte,34.0703909,-118.0274469,116249,7.3%,44415,7.4%,26
El Segundo,33.9200705,-118.4075845,15970,77.6%,83925,40.8%,36
El Sereno,34.08163982,-118.1746778,40954,4.9%,45886,9.4%,28
Elizabeth Lake,34.6737525,-118.3836475,1379,76.2%,75951,16.7%,33
Elysian Park,34.07611425,-118.2350483,2530,3.1%,28263,13.0%,31
Elysian Valley,34.09726917,-118.2427945,7387,9.7%,49103,17.1%,31
Encino,34.16304418,-118.5088031,41905,80.1%,78395,46.8%,42
Exposition Park,34.01767607,-118.3026906,31062,2.2%,33999,7.3%,26
Fairfax,34.08026188,-118.3523559,12490,84.7%,65298,54.6%,33
Florence,33.97296365,-118.2697499,43815,0.4%,29447,2.8%,23
Florence-Firestone,33.96753323,-118.2445537,60154,0.8%,34408,2.4%,22
Gardena,33.8894925,-118.3051901,57818,12.4%,52897,16.6%,34
Glassell Park,34.11917312,-118.2347277,23567,13.7%,50098,19.7%,30
Glendale,34.16235591,-118.2550436,195047,54.1%,57112,32.1%,37
Glendora,34.13397727,-117.8581091,50177,67.2%,81336,25.7%,37
Gramercy Park,33.9509165,-118.3089978,10047,0.8%,57983,14.9%,36
Granada Hills,34.2805123,-118.5000665,50535,55.5%,83911,32.7%,37
Green Meadows,33.94191831,-118.2634704,28381,0.6%,31347,3.6%,24
Griffith Park,34.136859,-118.3012315,902,55.6%,92864,55.0%,33
Hacienda Heights,33.99810292,-117.966515,52525,22.5%,80762,30.8%,36
Hancock Park,34.0741925,-118.3334747,9804,70.7%,85277,56.2%,37
Hansen Dam,34.2656655,-118.368858,394,37.3%,36183,34.0%,33
Harbor City,33.79403636,-118.3007016,2356,25.1%,55454,18.1%,30
Harbor Gateway,33.874952,-118.2923807,39688,11.8%,47849,12.4%,27
Harvard Heights,34.04511425,-118.306748,18587,3.3%,31173,10.3%,30
Harvard Park,33.978462,-118.3013325,10297,1.1%,37013,4.8%,28
Hawaiian Gardens,33.82704,-118.0724435,14915,10.9%,46853,6.7%,24
Hawthorne,33.91277544,-118.3433878,86825,12.9%,43602,12.6%,27
Hermosa Beach,33.86555451,-118.397187,18442,84.9%,109509,67.6%,33
Hidden Hills,34.162707,-118.6715635,1875,88.7%,203199,57.9%,41
Highland Park,34.11573264,-118.1921856,57566,11.3%,45478,14.3%,28
Historic South-Central,34.01718,-118.265971,49728,1.2%,30882,3.2%,23
Hollywood,34.09584661,-118.3314281,85489,41.0%,33694,27.5%,31
Hollywood Hills,34.118984,-118.3351542,21588,74.1%,69277,54.8%,37
Hollywood Hills West,34.10895863,-118.3701962,14860,84.9%,108199,58.8%,41
Huntington Park,33.97990911,-118.2153753,61270,3.0%,39185,4.7%,24
Hyde Park,33.9857357,-118.3290879,36685,2.0%,39460,12.3%,31
