Neighborhood,neighbor_lat,neighbor_lon
Acton,34.497483,-118.20637174999999
Adams-Normandie,34.0316998,-118.2995435
Agoura Hills,34.155796,-118.76535916666667
Agua Dulce,34.5149,-118.3077005
Alhambra,34.084447675,-118.13532219999998
Alondra Park,33.885925,-118.335435
Altadena,34.1900964375,-118.1363344375
Angeles Crest,34.268353499999996,-118.0162875
Arcadia,34.128125818181815,-118.03741927272728
Arleta,34.242376416666666,-118.43254366666666
Arlington Heights,34.04528141666666,-118.3202915
Artesia,33.86856433333333,-118.08118716666667
Athens,33.923775750000004,-118.3002815
Atwater Village,34.124523333333336,-118.2643635
Avalon,33.343563,-118.33004779999999
Avocado Heights,34.04089175,-118.00311675
Azusa,34.12869075,-117.907319
Baldwin Hills/Crenshaw,34.01594285714285,-118.34958292857144
Baldwin Park,34.08305671875,-117.9699651875
Bel-Air,34.1015635,-118.468744
Bell,33.97452557142857,-118.18529028571429
Bell Gardens,33.96570938888888,-118.1561563888889
Bellflower,33.886606694444446,-118.12821347222221
Beverly Crest,34.10719433333333,-118.43717016666666
Beverly Grove,34.075657625,-118.3723509375
Beverly Hills,34.07802621428572,-118.3991482142857
Beverlywood,34.0419315,-118.3933555
Boyle Heights,34.03924806,-118.20679163999999
Bradbury,34.1543995,-117.96857299999999
Brentwood,34.066705400000004,-118.4788998
Broadway-Manchester,33.9402645,-118.27522330000002
Burbank,34.181575041666676,-118.32656158333333
Calabasas,34.145038666666665,-118.66999249999999
Canoga Park,34.20721407692307,-118.5995445769231
Carson,33.836538023809524,-118.25764526190473
Carthay,34.057294999999996,-118.36690150000001
Castaic,34.4686015,-118.63459733333332
Castaic Canyons,34.476351541666666,-118.45980495833334
Central-Alameda,34.0044018,-118.24903835
Century City,34.0567325,-118.413721
Cerritos,33.866330818181815,-118.06504745454545
Charter Oak,34.103072999999995,-117.85720500000001
Chatsworth,34.257174909090914,-118.59692145454545
Chatsworth Reservoir,34.230309,-118.63686275
Chesterfield Square,33.98534466666667,-118.31066066666666
Cheviot Hills,34.041807750000004,-118.40919675
Chinatown,34.062436375,-118.23888775
Citrus,34.116586833333336,-117.894638
Claremont,34.1096095625,-117.7206713125
Commerce,33.999195,-118.15890966666666
Compton,33.89791945833334,-118.22424112499999
Covina,34.091443399999996,-117.88960789999999
Cudahy,33.96376933333334,-118.18484766666667
Culver City,34.00778935714286,-118.40534757142858
Cypress Park,34.09328616666667,-118.22623966666667
Del Aire,33.9145795,-118.3678085
Del Rey,33.992355571428575,-118.42082007142858
Diamond Bar,33.997714944444446,-117.81593300000002
Downey,33.93507789130435,-118.13455484782611
Downtown,34.04617296153847,-118.25013038461536
Duarte,34.134489333333335,-117.96957766666667
Eagle Rock,34.1319455,-118.20904425
East Compton,33.901361,-118.19644299999999
East Hollywood,34.08886727777777,-118.29696316666666
East La Mirada,33.925507499999995,-117.99039675
East Los Angeles,34.03178930357143,-118.16943535714287
East Pasadena,34.140347,-118.07044599999999
East San Gabriel,34.118822699999996,-118.07602040000002
Echo Park,34.07697233333334,-118.25798905555556
El Monte,34.070390895833334,-118.02744685416666
El Segundo,33.9200705,-118.4075845
El Sereno,34.08163981818182,-118.17467781818182
Elizabeth Lake,34.6737525,-118.38364750000001
Elysian Park,34.07611425,-118.23504825
Elysian Valley,34.09726916666667,-118.24279449999999
